Year,2014
Month,"Average Wind Speed(stdev, mad)","Average Ambient Temperature(stdev, mad)",Solar Radiation
January,"9.94909(7.55662, 6.85012)","16.9916(2.35879, 1.89826)",1.32197
March,"20.2751(10.9146, 8.57541)","22.8245(5.21293, 4.14653)",183.854
April,"13.7115(9.49093, 7.73874)","19.3154(5.01752, 3.97314)",137.692
May,"17.0764(11.2468, 8.62358)","16.5148(3.23833, 2.50945)",86.5102
June,"4.65108(8.44592, 6.82312)","13.2063(4.69271, 3.77843)",79.6132
July,"12.7061(11.0144, 9.51531)","13.4973(3.6895, 2.94615)",84.238
August,"18.9688(10.5334, 8.13645)","15.4855(4.10582, 3.22387)",112.533
September,"20.5773(12.202, 9.31904)","16.0949(3.99311, 3.09491)",145.275
October,"18.8937(9.12458, 7.07)","17.7946(4.74685, 3.73223)",201.007
November,"20.3355(8.99978, 7.10441)","19.0069(4.58131, 3.58612)",220.502
December,"21.7421(8.11155, 6.41847)","21.2298(4.96436, 3.94807)",269.106
